Part Number,進貨價
1080758_B,1665
1109061,29.4
1115532,3270
1115533,3270
1115534,3270
1068963,3270
1091398,1200
1080760,29.4
1099589,303
1099585,45.3
INX500T15,16802
INX700H15,31000
1115485,17.98
1115542,17.98
1115486,314.65
1115538,973.4
1121520,6207.75
1121522,6207.75
1121523,6207.75
1121525,6207.75
1121526,6207.75
1121527,5.58
1115484,10.85
1115481,194.68
1121548,230.33
1151316B,230.33
1121550,1868.68
1121552,40.3
1121549,1868.68
1121551,40.3
1121553,27.28
1121554,613.8
1121555,5.58
1115543,66.03
1121559,14.88
1130435,412.3
1152522,114.7
1152526,114.7
1152268,114.7
1152530,114.7
1152261,114.7
1118499,2861.61
1144267,2861.61
1120136,3100
1038928,597.68
PR15,1025.48
PR12,1208.69
HT15,2098.39
1120668,932.48
1120613,248
1120873,1614.48
1120617,372
1121569,20.15
1120614,96.1
1121570,48.05
1120616,45.88
1122522,15.5
1120669,10.85
1120615,27.9
1126545,25.73
1126543,12.4
EUXH,1457
1032907,644.8
1122520,1430.65
1121568,119.35
1122446,93
1122447,62
1122518,111.6
1122519,279
1121694,7244.39
1133830,85.25
1120293,1791.8
1126942,17949
1126240,1736
INXH,620
1037268,155
1008198,155
1127131,465
1063859,2418
1145085,2418
1133905,2701.03
1133915,6207.75
1133916,6207.75
1133907,511.5
1133904,227.23
1133914,2786.9
1133903,41.85
1133902,27.9
1133912,26.35
1133900,93
1133901,42.78
1133910,63.55
1133913,13.33
1133906,3271.43
1133899,165.23
1133911,214.83
1133866,279
1135283,73.78
1133743,216.38
1133744,595.2
1133908,93
1133909,97.03
1133741,93.93
1132551,613.8
1132552,613.8
1140261,1519.31
INGH,4245.76
1133281,2496.12
1133276,713
1136051,12623.51
1136052,2016.86
INX1030T19,46500
INX1130T19,62000
1130519,5053
1130520,5053.93
1130437,636.43
1130523,5497.85
1130734,5497.85
1130737,5497.85
1130524,5497.85
1130758,5497.85
1130759,5497.85
1130760,5497.85
1130521,3357.3
1132247,114.7
